transaction_id,amount,payment_method,bank,failure_reason,hour_of_day,is_repeat_customer,previous_failed_attempts,retry_successful
txn_00000,1271.16,UPI,Kotak,insufficient_funds,6,1,0,0
txn_00001,3050.41,UPI,SBI,bank_server_down,20,1,2,0
txn_00002,847.22,UPI,Kotak,otp_timeout,11,0,1,0
txn_00003,98.17,UPI,Axis,network_error,14,1,1,1
txn_00004,1009.3,UPI,HDFC,insufficient_funds,8,0,2,0
txn_00005,1529.14,Netbanking,HDFC,session_timeout,20,0,0,1
txn_00006,528.77,Card,PNB,otp_timeout,7,1,0,1
txn_00007,981.76,Card,Kotak,otp_timeout,17,1,2,0
txn_00008,1459.04,Card,PNB,bank_server_down,7,1,1,0
txn_00009,9471.19,Card,HDFC,bank_server_down,12,0,2,0
txn_00010,1256.78,Wallet,HDFC,network_error,2,1,0,1
txn_00011,268.62,UPI,PNB,otp_timeout,7,1,0,1
txn_00012,137.81,Card,Kotak,otp_timeout,2,1,0,1
txn_00013,1258.85,Card,ICICI,otp_timeout,13,1,1,1
txn_00014,725.63,UPI,Kotak,insufficient_funds,19,1,1,0
txn_00015,493.24,Card,PNB,otp_timeout,3,1,1,0
txn_00016,361.29,Netbanking,ICICI,bank_server_down,11,0,2,0
txn_00017,484.85,Netbanking,Axis,bank_server_down,6,1,0,1
txn_00018,278.58,UPI,Kotak,otp_timeout,8,1,1,1
txn_00019,400.76,UPI,SBI,bank_server_down,23,1,0,1
txn_00020,97.63,Wallet,Yes Bank,insufficient_funds,16,1,0,1
txn_00021,647.74,UPI,PNB,otp_timeout,0,1,1,1
txn_00022,310.25,UPI,Yes Bank,network_error,23,0,1,1
txn_00023,787.34,Card,Yes Bank,insufficient_funds,10,1,1,0
txn_00024,3665.08,UPI,Kotak,insufficient_funds,18,1,2,0
txn_00025,1593.34,UPI,HDFC,otp_timeout,7,0,2,0
txn_00026,1500.45,UPI,HDFC,bank_server_down,15,1,1,0
txn_00027,194.25,UPI,Axis,otp_timeout,4,1,0,1
txn_00028,854.48,Card,SBI,bank_server_down,23,1,2,0
txn_00029,940.53,Card,Yes Bank,otp_timeout,15,0,1,1
txn_00030,1899.5,UPI,ICICI,bank_server_down,8,0,0,0
txn_00031,2502.65,UPI,PNB,insufficient_funds,16,0,1,0
txn_00032,912.23,Card,Yes Bank,insufficient_funds,18,1,1,0
